Procrastination,Depression,Relaxation,Action1,Action2
hesistate,dark,frustrated,do,accomplish
lazy,destroy,frustrating,find,finish
prolong,die,chill,go,ace
slow,hate,me,need,pass
apathetic,kill,much,have,earn
bored,life,my,play,build
boring,me,not,want,achieve
tedium,murder,overwhelmed,must,win
anime,myself,vacation,require,create
netflix,revenge,crazy,required,implement
movies,someone,stress,wish,do
waste,understand,stressed,crave,perform
ice cream,cry,too,miss,soon
movies,worst,sleep,,possible
snack,enemy,burnt,,buy
binge,hurts,food,,complete
tv,broken,control,,start
game,erase,work,,work
video,evil,relax,,exercise
facebook,pain,relaxation,,visit
twitter,emotion,,,more
instagram,world,,,use
twitch,numb,,,make
league,emotions,,,try
slow,supposed,,,study
guilt,strength,,,go
shame,alone,,,accomplishing
procrastinate,sleep,,,finishing
procrastination,depression,,,aceing
procrastinated,depressed,,,passing
wasted,suicide,,,earning
time,tears,,,building
hesitated,tear,,,achieveing
prolonged,hole,,,wining
procrastinating,chasm,,,createing
wasting,burden,,,implementing
,sad,,,doing
,died,,,performing
,cried,,,sooning
,asleep,,,possibleing
,haze,,,buying
,energy,,,completeing
,dreading,,,starting
,,,,working
,,,,exerciseing
,,,,visiting
,,,,moreing
,,,,useing
,,,,makeing
,,,,trying
,,,,studying
,,,,going
,,,,learn
